2022-06-28 08:44:01.173[1656395041173] | INFO  | main       | root.Operations                      - Starting Operations using Java 18.0.1.1 on DESKTOP-NQ4MVB7 with PID 9452 (E:\Games\eclipse-workspace\Calculator\target\classes started by Михаил in E:\Games\eclipse-workspace\Calculator)
2022-06-28 08:44:01.177[1656395041177] | INFO  | main       | root.Operations                      - No active profile set, falling back to 1 default profile: "default"
2022-06-28 08:44:02.387[1656395042387] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8080 (http)
2022-06-28 08:44:02.398[1656395042398] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-28 08:44:02.400[1656395042400] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2022-06-28 08:44:02.401[1656395042401] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-28 08:44:02.543[1656395042543] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-06-28 08:44:02.543[1656395042543] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1273 ms
2022-06-28 08:44:03.142[1656395043142] | INFO  | main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-06-28 08:44:03.196[1656395043196] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Starting ProtocolHandler ["http-nio-8080"]
2022-06-28 08:44:03.212[1656395043212] | INFO  | cluster-ClusterId{value='62ba95234ca3d24039f52f7c', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:1}] to localhost:27017
2022-06-28 08:44:03.216[1656395043216] | INFO  | cluster-ClusterId{value='62ba95234ca3d24039f52f7c', description='null'}-localhost:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 8]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2731200}
2022-06-28 08:44:03.221[1656395043221] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-28 08:44:03.231[1656395043231] | INFO  | main       | root.Operations                      - Started Operations in 2.464 seconds (JVM running for 3.285)
2022-06-28 08:45:11.034[1656395111034] | INFO  | http-nio-8080-exec-2 | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-28 08:45:11.035[1656395111035] | INFO  | http-nio-8080-exec-2 | o.s.web.servlet.DispatcherServlet    - Initializing Servlet 'dispatcherServlet'
2022-06-28 08:45:11.037[1656395111037] | INFO  | http-nio-8080-exec-2 | o.s.web.servlet.DispatcherServlet    - Completed initialization in 2 ms
2022-06-28 08:48:07.632[1656395287632] | INFO  | http-nio-8080-exec-7 | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-06-28 08:48:07.642[1656395287642] | INFO  | cluster-ClusterId{value='62ba96174ca3d24039f52f7d', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:2, serverValue:2}] to localhost:27017
2022-06-28 08:48:07.643[1656395287643] | INFO  | cluster-ClusterId{value='62ba96174ca3d24039f52f7d', description='null'}-localhost:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 8]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=570600}
